uid,response_no,unix_time,response
user2,9,1610513070766,"{""phase"": ""TEST"", ""expr"": ""E047_CW"", ""c1_confidence"": 0, ""c2_confidence"": 3, ""rt"": 3974}"
user2,10,1610513075033,"{""phase"": ""TEST"", ""expr"": ""E068_CW"", ""c1_confidence"": 0, ""c2_confidence"": 2, ""rt"": 4265}"
user2,11,1610513079550,"{""phase"": ""TEST"", ""expr"": ""E048_CW"", ""c1_confidence"": 2, ""c2_confidence"": 3, ""rt"": 4515}"
user2,12,1610513083134,"{""phase"": ""TEST"", ""expr"": ""E084_FGSM"", ""c1_confidence"": 2, ""c2_confidence"": 2, ""rt"": 3582}"
user2,13,1610513087111,"{""phase"": ""TEST"", ""expr"": ""E001_FGSM"", ""c1_confidence"": 2, ""c2_confidence"": 1, ""rt"": 3971}"
user2,14,1610513090079,"{""phase"": ""TEST"", ""expr"": ""E050_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 2, ""rt"": 2965}"
user2,15,1610513093342,"{""phase"": ""TEST"", ""expr"": ""E025_FGSM"", ""c1_confidence"": 2, ""c2_confidence"": 2, ""rt"": 3261}"
user2,16,1610513097007,"{""phase"": ""TEST"", ""expr"": ""E065_SINVAD"", ""c1_confidence"": 2, ""c2_confidence"": 2, ""rt"": 3663}"
user2,17,1610513100655,"{""phase"": ""TEST"", ""expr"": ""E053_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 1, ""rt"": 3647}"
user2,18,1610513104934,"{""phase"": ""TEST"", ""expr"": ""E069_SINVAD"", ""c1_confidence"": 1, ""c2_confidence"": 3, ""rt"": 4277}"
user2,19,1610513108598,"{""phase"": ""TEST"", ""expr"": ""E057_real"", ""c1_confidence"": 2, ""c2_confidence"": 3, ""rt"": 3657}"
user2,20,1610513112743,"{""phase"": ""TEST"", ""expr"": ""E040_SINVAD"", ""c1_confidence"": 1, ""c2_confidence"": 2, ""rt"": 4142}"
user2,21,1610513118593,"{""phase"": ""TEST"", ""expr"": ""E066_real"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 5849}"
user2,22,1610513122648,"{""phase"": ""TEST"", ""expr"": ""E027_CW"", ""c1_confidence"": 3, ""c2_confidence"": 1, ""rt"": 4053}"
user2,23,1610513126770,"{""phase"": ""TEST"", ""expr"": ""E070_CW"", ""c1_confidence"": 2, ""c2_confidence"": 2, ""rt"": 4119}"
user2,24,1610513130150,"{""phase"": ""TEST"", ""expr"": ""E028_SINVAD"", ""c1_confidence"": 1, ""c2_confidence"": 3, ""rt"": 3379}"
user2,25,1610513133544,"{""phase"": ""TEST"", ""expr"": ""E041_FGSM"", ""c1_confidence"": 2, ""c2_confidence"": 2, ""rt"": 3392}"
user2,26,1610513137313,"{""phase"": ""TEST"", ""expr"": ""E052_SINVAD"", ""c1_confidence"": 2, ""c2_confidence"": 2, ""rt"": 3767}"
user2,27,1610513141489,"{""phase"": ""TEST"", ""expr"": ""E002_SINVAD"", ""c1_confidence"": 1, ""c2_confidence"": 3, ""rt"": 4174}"
user2,28,1610513145337,"{""phase"": ""TEST"", ""expr"": ""E007_FGSM"", ""c1_confidence"": 2, ""c2_confidence"": 1, ""rt"": 3846}"
user2,29,1610513149258,"{""phase"": ""TEST"", ""expr"": ""E090_SINVAD"", ""c1_confidence"": 2, ""c2_confidence"": 2, ""rt"": 3920}"
user2,30,1610513152915,"{""phase"": ""TEST"", ""expr"": ""E031_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 2, ""rt"": 3656}"
user2,31,1610513158379,"{""phase"": ""TEST"", ""expr"": ""E091_CW"", ""c1_confidence"": 1, ""c2_confidence"": 1, ""rt"": 5462}"
user2,32,1610513161706,"{""phase"": ""TEST"", ""expr"": ""E038_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 2, ""rt"": 3325}"
user2,33,1610513165274,"{""phase"": ""TEST"", ""expr"": ""E004_real"", ""c1_confidence"": 1, ""c2_confidence"": 3, ""rt"": 3566}"
user2,34,1610513169101,"{""phase"": ""TEST"", ""expr"": ""E039_CW"", ""c1_confidence"": 2, ""c2_confidence"": 1, ""rt"": 3820}"
user3,2,1610512689341,"{""phase"": ""TEST"", ""expr"": ""E061_CW"", ""c1_confidence"": 4, ""c2_confidence"": 1, ""rt"": 16370}"
user3,3,1610512694560,"{""phase"": ""TEST"", ""expr"": ""E083_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 5208}"
user3,4,1610512699179,"{""phase"": ""TEST"", ""expr"": ""E048_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 4613}"
user3,5,1610512704780,"{""phase"": ""TEST"", ""expr"": ""E074_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 5587}"
user3,6,1610512711080,"{""phase"": ""TEST"", ""expr"": ""E045_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 6292}"
user3,7,1610512717311,"{""phase"": ""TEST"", ""expr"": ""E040_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 6223}"
user3,8,1610512720725,"{""phase"": ""TEST"", ""expr"": ""E016_real"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 3405}"
user3,9,1610512724013,"{""phase"": ""TEST"", ""expr"": ""E063_FGSM"", ""c1_confidence"": 3, ""c2_confidence"": 0, ""rt"": 3282}"
user3,10,1610512729027,"{""phase"": ""TEST"", ""expr"": ""E078_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 5008}"
user3,11,1610512732504,"{""phase"": ""TEST"", ""expr"": ""E034_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 3472}"
user3,12,1610512736678,"{""phase"": ""TEST"", ""expr"": ""E014_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 1, ""rt"": 4168}"
