uid,response_no,unix_time,response
user2,9,1611026375735,"{""phase"": ""TEST"", ""expr"": ""E057_CW"", ""c1_confidence"": 4, ""c2_confidence"": 4, ""rt"": 1635}"
user2,10,1611026383105,"{""phase"": ""TEST"", ""expr"": ""E037_SINVAD"", ""c1_confidence"": 3, ""c2_confidence"": 3, ""rt"": 7366}"
user2,11,1611026385967,"{""phase"": ""TEST"", ""expr"": ""E073_CW"", ""c1_confidence"": 2, ""c2_confidence"": 4, ""rt"": 2857}"
user2,12,1611026387709,"{""phase"": ""TEST"", ""expr"": ""E081_SINVAD"", ""c1_confidence"": 2, ""c2_confidence"": 1, ""rt"": 1734}"
user2,13,1611026389605,"{""phase"": ""TEST"", ""expr"": ""E036_real"", ""c1_confidence"": 4, ""c2_confidence"": 3, ""rt"": 1892}"
user2,14,1611026392277,"{""phase"": ""TEST"", ""expr"": ""E033_SINVAD"", ""c1_confidence"": 2, ""c2_confidence"": 3, ""rt"": 2669}"
user2,15,1611026396893,"{""phase"": ""TEST"", ""expr"": ""E006_CW"", ""c1_confidence"": 2, ""c2_confidence"": 3, ""rt"": 4613}"
user2,16,1611026431199,"{""phase"": ""TEST"", ""expr"": ""E075_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 3, ""rt"": 34303}"
user2,17,1611026433199,"{""phase"": ""TEST"", ""expr"": ""E030_CW"", ""c1_confidence"": 2, ""c2_confidence"": 4, ""rt"": 1996}"
user2,18,1611026435158,"{""phase"": ""TEST"", ""expr"": ""E071_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 3, ""rt"": 1955}"
user2,19,1611026437135,"{""phase"": ""TEST"", ""expr"": ""E042_FGSM"", ""c1_confidence"": 1, ""c2_confidence"": 3, ""rt"": 1974}"
user2,20,1611026439863,"{""phase"": ""TEST"", ""expr"": ""E021_SINVAD"", ""c1_confidence"": 1, ""c2_confidence"": 1, ""rt"": 2723}"
user2,21,1611026444846,"{""phase"": ""TEST"", ""expr"": ""E008_CW"", ""c1_confidence"": 2, ""c2_confidence"": 3, ""rt"": 4979}"
